1	11	21	31	41	123	566	123	56											
2	12	22	32	42	123	567	567	567											
3	13	23	33	43	123	568	1011	1078											
4	14	24	34	44	123	569	1455	1589											
5	15	25	35	45	123	570	1899	2100											
6	16	26	36	46	123	571	2343	2611											
7	17	27	37	47	123	572	2787	3122											
8	18	28	38	48	123	573	3231	3633											
9	19	29	39	49	123	574	3675	4144											
10	20	30	40	50	123	575	4119	4655											
11	21	31	41	51	123	576	4563	5166											
12	22	32	42	52	123	577	5007	5677	4514.833333	5161.266667	5807.7	6454.133333	7100.566667	7747	8393.433333	9039.866667	9686.3	10332.73333	
13	23	33	43	53	123	578	5451	6188											
14	24	34	44	54	123	579	5895	6699											
15	25	35	45	55	123	580	6339	7210											
16	26	36	46	56	123	581	6783	7721											
17	27	37	47	57	123	582	7227	8232											
18	28	38	48	58	123	583	7671	8743											
19	29	39	49	59	123	584	8115	9254											
20	30	40	50	60	123	585	8559	9765											
21	31	41	51	61	123	586	9003	10276											
22	32	42	52	62	123	587	9447	10787											
23	33	43	53	63	123	588	9891	11298											
24	34	44	54	64	123	589	10335	11809											
25	35	45	55	65	123	590	10779	12320	9551.611111	10927.77778	12303.94444	13680.11111	15056.27778	16432.44444	17808.61111	19184.77778	20560.94444	21937.11111	23313.27778
26	36	46	56	66	123	591	11223	12831	9939.055556	11371.35556	12803.65556	14235.95556	15668.25556	17100.55556	18532.85556	19965.15556	21397.45556	22829.75556	24262.05556
27	37	47	57	67	123		11667	13342	12106.63514	13808.68468	15510.73423	17212.78378	18914.83333	20616.88288	22318.93243	24020.98198	25723.03153	27425.08108	29127.13063
28	38	48	58	68	123		12111	13853	12567.74324	14334.76577	16101.78829	17868.81081	19635.83333	21402.85586	23169.87838	24936.9009	26703.92342	28470.94595	30237.96847
29	39	49	59	69	123		12555	14364	13028.85135	14860.84685	16692.84234	18524.83784	20356.83333	22188.82883	24020.82432	25852.81982	27684.81532	29516.81081	31348.80631
30	40	50	60	70	123		12999	14875											
31	41	51	61		123		13443	15386											
32	42	52	62		123		13887	15897											
33	43	53	63		123		14331	16408											
34	44	54	64		123		14775	16919											
35	45	55	65		123		15219	17430											
36	46	56	66		123		15663	17941											
37	47	57	67		123		16107	18452											
38	48		68				16551	18963											
							16995	19474											
							17439	19985											
							17883	20496											
							18327	21007											
								21518											
								22029											
								22540											
								23051											
								23562											
								24073											
								24584											
								25095											
								25606											
								26117											
								26628											
								27139											
								27650											
								28161											
								28672											
								29183											
								29694											
								30205											
								30716											
								31227											
								31738											
								32249											
								32760											
								33271											
								33782											
								34293											
